,Pclass,Age,SibSp,Parch,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,3,3,1,0,0,1,0,0,1
1,1,4,1,0,1,0,1,0,0
2,3,4,0,0,1,0,0,0,1
3,1,4,1,0,1,0,0,0,1
4,3,4,0,0,0,1,0,0,1
5,3,5,0,0,0,1,0,1,0
6,1,5,0,0,0,1,0,0,1
7,3,1,3,1,0,1,0,0,1
8,3,4,0,2,1,0,0,0,1
9,2,2,1,0,1,0,1,0,0
10,3,2,1,1,1,0,0,0,1
11,1,5,0,0,1,0,0,0,1
12,3,3,0,0,0,1,0,0,1
13,3,4,1,5,0,1,0,0,1
14,3,2,0,0,1,0,0,0,1
15,2,5,0,0,1,0,0,0,1
16,3,1,4,1,0,1,0,1,0
17,2,5,0,0,0,1,0,0,1
18,3,4,1,0,1,0,0,0,1
19,3,5,0,0,1,0,1,0,0
20,2,4,0,0,0,1,0,0,1
21,2,4,0,0,0,1,0,0,1
22,3,3,0,0,1,0,0,1,0
23,1,4,0,0,0,1,0,0,1
24,3,2,3,1,1,0,0,0,1
25,3,4,1,5,1,0,0,0,1
26,3,5,0,0,0,1,1,0,0
27,1,3,3,2,0,1,0,0,1
28,3,5,0,0,1,0,0,1,0
29,3,5,0,0,0,1,0,0,1
30,1,4,0,0,0,1,1,0,0
31,1,5,1,0,1,0,1,0,0
32,3,5,0,0,1,0,0,1,0
33,2,5,0,0,0,1,0,0,1
34,1,4,1,0,0,1,1,0,0
35,1,4,1,0,0,1,0,0,1
36,3,5,0,0,0,1,1,0,0
37,3,3,0,0,0,1,0,0,1
38,3,3,2,0,1,0,0,0,1
39,3,2,1,0,1,0,1,0,0
40,3,4,1,0,1,0,0,0,1
41,2,4,1,0,1,0,0,0,1
42,3,5,0,0,0,1,1,0,0
43,2,1,1,2,1,0,1,0,0
44,3,3,0,0,1,0,0,1,0
45,3,5,0,0,0,1,0,0,1
46,3,5,1,0,0,1,0,1,0
47,3,5,0,0,1,0,0,1,0
48,3,5,2,0,0,1,1,0,0
49,3,3,1,0,1,0,0,0,1
50,3,2,4,1,0,1,0,0,1
51,3,3,0,0,0,1,0,0,1
